accuracy,loss,val_accuracy,val_loss,experiment,augmentation,fine_tuning,notes
0.975428581237793,0.07662242650985718,0.9845333099365234,0.046177029609680176,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9842857122421265,0.043685443699359894,0.9864000082015991,0.04402172937989235,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9861714243888855,0.03827623650431633,0.9866666793823242,0.0399506650865078,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9876571297645569,0.03456388786435127,0.9874666929244995,0.039446789771318436,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9881714582443237,0.032865334302186966,0.9866666793823242,0.03997127339243889,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9893714189529419,0.030086133629083633,0.9877333045005798,0.039319105446338654,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9898285865783691,0.028477434068918228,0.9864000082015991,0.04011237621307373,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9912571310997009,0.026842212304472923,0.986133337020874,0.03984896093606949,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9909142851829529,0.02570217102766037,0.986133337020874,0.040218815207481384,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
0.9920571446418762,0.02418682910501957,0.986133337020874,0.039737507700920105,baseline_transfer_learning,no,no,Baseline com MobileNetV2 congelada
